2023Q2,2,1,3173,1,2023,3,39011654.389090,340017406
2023Q2,2,1a,3173,1,2023,3,10717390.735453,340017406
2023Q2,2,1b,3173,1,2023,3,1020287.979181,340017406
2023Q2,2,1c,3173,1,2023,3,7831639.679897,340017406
2023Q2,2,1d,3173,1,2023,3,1832051.151340,340017406
2023Q2,2,1e,3173,1,2023,3,9302013.283400,340017406
2023Q2,2,1f,3173,1,2023,3,5457121.699150,340017406
2023Q2,2,1g,3173,1,2023,3,2851149.860669,340017406
2023Q2,2,2,3173,1,2023,3,1902742.986446,340017406
2023Q2,2,3,3173,1,2023,3,48159707.787009,340017406
2023Q2,2,4,3173,1,2023,3,43713449.866444,340017406
2023Q2,2,4a,3173,1,2023,3,32281545.743730,340017406
2023Q2,2,4b,3173,1,2023,3,11431904.122714,340017406
2023Q2,2,5,3173,1,2023,3,-1946202.783158,340017406
2023Q2,2,6,3173,1,2023,3,15776318.104020,340017406
2023Q2,2,7,3173,1,2023,3,10734911.712595,340017406
2023Q2,2,8,3173,1,2023,3,28409454.291277,340017406
2023Q2,2,9,3173,1,2023,3,164292212.928532,340017406
